Title|Description|End Date|Tags
Round 1 - Program selection (subject POSt) request period on ACORN.|Round 1 - Program selection (subject POSt) request period on ACORN.|2021-04-30|Academic,Summer
View your course enrolment start time on ACORN.|View your course enrolment start time on ACORN.|2021-03-10|Academic,Summer,Enrolment
Course enrolment for UTM degree students begins for the Summer session.|Course enrolment for UTM degree students begins for the Summer session.|2021-03-15|Academic,Summer,Enrolment
Course enrolment for non-degree and visiting students begins.|Course enrolment for non-degree and visiting students begins.|2021-03-16|Academic,Summer,Enrolment
First day to add repeated courses (EXT).|First day to add repeated courses (EXT).|2021-03-16|Academic,Summer
Submit the Course Enrolment Exception Form for F and Y courses. Deadline is May 7 at 1 pm.|Submit the Course Enrolment Exception Form for F and Y courses. Deadline is May 7 at 1 pm.|2021-05-07|Academic,Summer,Forms and Petitions
Submit the Course Enrolment Exception Form for S courses. Deadline is July 9 at 1 pm.|Submit the Course Enrolment Exception Form for S courses. Deadline is July 9 at 1 pm.|2021-07-09|Academic,Summer,Forms and Petitions
Deadline to apply for a Letter of Permission to study at another Canadian university in the Summer Session.|Deadline to apply for a Letter of Permission to study at another Canadian university in the Summer Session.|2021-04-01|Academic,Summer
Courses with priority enrolment controls become available to all UTM students.|Courses with priority enrolment controls become available to all UTM students.|2021-04-01|Academic,Summer,Enrolment
Good Friday. University closed.|Good Friday. University closed.|2021-04-02|Academic,Summer,Financial
First day to request OSAP fee deferrals on ACORN.|First day to request OSAP fee deferrals on ACORN.|2021-04-12|Academic,Summer,Financial
Beginning at 6 AM, UTM students can enrol in St. George or UTSC courses. Students from other campuses may add UTM courses.|Beginning at 6 AM, UTM students can enrol in St. George or UTSC courses. Students from other campuses may add UTM courses.|2021-04-14|Academic,Summer
Deadline for visiting students to apply for Summer F and/or Y courses.|Deadline for visiting students to apply for Summer F and/or Y courses.|2021-04-15|Academic,Summer
Deadline to pay minimum amount of tuition fees for Summer Session as indicated on ACORN invoice.|Deadline to pay minimum amount of tuition fees for Summer Session as indicated on ACORN invoice.|2021-04-20|Academic,Summer,Financial
If tuition payment is made during this period, you MUST provide the Office of the Registrar with proof of payment to avoid being removed from classes on April 29.|If tuition payment is made during this period, you MUST provide the Office of the Registrar with proof of payment to avoid being removed from classes on April 29.|2021-04-28|Academic,Summer,Financial
Last day to submit proof of payment to the Office of the Registrar for any tuition payments made late.|Last day to submit proof of payment to the Office of the Registrar for any tuition payments made late.|2021-04-28|Academic,Summer,Financial
"Registration cancelled if payment or deferral of fees has not been received. Students whose ACORN account does not show a ""Registered"" status will be removed from classes."|"Registration cancelled if payment or deferral of fees has not been received. Students whose ACORN account does not show a ""Registered"" status will be removed from classes."|2021-04-29|Academic,Summer,Financial
Late registration form opens for F & Y courses.|Late registration form opens for F & Y courses.|2021-04-30|Academic,Summer,Financial,Forms and Petitions
Round 1 - Program selection (subject POSt) request period ends on ACORN.|Round 1 - Program selection (subject POSt) request period ends on ACORN.|2021-04-30|Academic,Summer
Accept an invitation to your subject POSt on ACORN if you applied during Round 1.|Accept an invitation to your subject POSt on ACORN if you applied during Round 1.|2021-06-02|Academic,Summer
Deadline to cancel registration (if only enrolled in F & Y courses) with no minimum charge.|Deadline to cancel registration (if only enrolled in F & Y courses) with no minimum charge.|2021-05-02|Academic,Summer,Financial
Classes begin for F & Y Summer courses.|Classes begin for F & Y Summer courses.|2021-05-03|Academic,Summer
Deadline to submit a petition for a Course Overload.|Deadline to submit a petition for a Course Overload.|2021-05-03|Academic,Summer,Forms and Petitions
Deadline to submit the Course Enrolment Exception Form for F and Y courses (1 pm).|Deadline to submit the Course Enrolment Exception Form for F and Y courses (1 pm).|2021-05-07|Academic,Summer,Forms and Petitions
Waitlist ends for Summer F & Y courses at UTM.|Waitlist ends for Summer F & Y courses at UTM.|2021-05-09|Academic,Summer
Last day to add or change a section in a Summer F or Y course on ACORN.|Last day to add or change a section in a Summer F or Y course on ACORN.|2021-05-09|Academic,Summer
